cluster,women_secondary_plus_pct,women_literate_pct,improved_water_pct,improved_sanitation_pct,antenatal_4plus_pct,antenatal_skilled_pct,skilled_birth_attendance_pct,health_facility_delivery_pct,health_insurance_any_pct,malaria_prevalence_pct,child_anemia_pct,wasting_pct,underweight_pct,fertility_rate,stunting_rate,n_subregions,cluster_label
0,1.9,43.59,62.51,39.85,48.37,76.88,48.98,46.17,0.95,28.71,61.35,6.88,17.42,5.51,36.99,4,Northern-rural (critical risk)
1,10.31,87.22,82.98,67.55,77.92,95.91,91.07,89.51,3.04,19.18,51.48,1.55,4.14,4.33,23.6,6,Urban-affluent (low risk)
