k,inertia,silhouette
2,43.86409793207642,0.5052631332106071
3,20.89031640588989,0.48772132685058106
4,13.673720834991517,0.39406223288976827
5,10.059158872952196,0.35409521713533637
6,6.842331089797582,0.3205337604201556
7,4.55855992191053,0.2774774764199187
8,2.8301866587488216,0.18477868188876304
