name,accuracy,macro_f1,cv_accuracy_mean,cv_accuracy_std
Random Forest,0.8028846153846154,0.8004221688751589,0.8096153846153846,0.02075676263934897
Logistic Regression,0.7980769230769231,0.7967969070606277,0.7923076923076924,0.016764995936694924
